Sentence,Original emoji,output emoji
This is the content we love 🤣,"['👨', '❤', '💬']",<pad>
I have been enough to being positive person,"['🤦', '❌', '😄']",<pad>
I got trust issues…lol,"['❌', '🥰', '💬']",
"my phone says i tried to brick mephone, but i never did that!  promise :D","['📱', '💬', '👉', '📱', '❌']",
I’m looking real breedable,"['👀', '👍']",<pad>
I hope they announce the new Satine understudy too. they  deserve the spotlight too,"['🙏', '💬', '👉', '🎉']",<pad>
Trippy,['🤔'],<pad>
LETS GOOO,['🎉'],<pad>
Knowing a nigga love you but can’t love you properly is a painful situation...😩,"['👨', '❤', '👉', '😢']",
My journals never did contain any deep thoughts. Just me whining about crap.,"['📖', '❌', '💬']",
i have‐,['👉'],<pad>
No excuses. Just results 😎💰,"['❌', '💬', '👌']",
"God I love Seb. And I hate that I used to despise him at one point. What an incredible dude, class of the grid","['⛪', '❤', '👍', '👨']",<pad>
"one thing about me, i’m not playing with people’s kids. you better call your ol ma.","['👉', '👨', '❌', '🎮', '👨']",
What y’all think?,"['👉', '🤔']",
no cuz the rest of the members are on the other side of the skateboard why are the two of them isolated,"['👨', '👨', '🏃', '❌', '👨']",<pad>
"every single one but I have a soft spot for m.i.a, neverending story, levanter, slump and side effects",['❤'],
"every second of every minute, every minute of every hour and every hour of every day.","['⏰', '📅']",
🗣IF IT IS DELETED I AINT TWEET IT.,"['👉', '❌', '💬']",
Ok but Top Cat being my fav character and Thomas Lennon one of my fav actors voicing him omg perfect,"['❤', '👨', '👍']",
pls comment if you do want to join ❤️‍🔥 i'll be creating it once a few more people wanna join,"['👨', '👉', '👨', '👩', '👦']",
I’d definitely be for it. He’s clearly better than Chapman.,"['👌', '👉', '👨', '👍']",<pad>
Went for a swim but aquafit was in full swing so we had sweet potato fries in the cafe instead.,"['👉', '💦', '👨', '🍳']",
"He hugs the readers leg, snuggly wolf noises.","['👨', '📖', '👍']",
"Hello everyone, due to circumstances, drawings will be published less often. :(","['👋', '❌', '⏰', '👉', '📖']",
I wanna go to brunch !,"['🤔', '🍳']",<pad>
bitches on youtube when a new variant of covid comes out “covid-19 (slowed + reverbed) 🥀🖤”,"['😡', '👩', '👉', '💉']",<pad>
Lol sure,"['😂', '👌']",
Athleticism = inter-muscular coordination   *the ability of the muscles to contract (and relax) in measured harmony*,"['🏃', '👍', '🌛']",<pad>
nba is unwatchable,"['🏃', '❌', '👀']",
She’s good from far but far from good,"['👩', '👍']",<pad>
"sabtu felt like a weekend, ahad feels like pre-monday","['👉', '📅', '💼']",
girl you be killin’ em,"['👩', '🤦']",
"the way school makes my anxiety worse, yho ha.a","['⛪', '👉', '😢']",<pad>
So glad LOONA has learned we don’t follow rules and will record anything,"['🙏', '👨', '❌', '🤦']",
Wanttttt,['🤔'],<pad>
Its august 1st 🥳🥳🥳,"['📅', '🎉']",
trust nobody,"['❌', '👨', '👩']",<pad>
Anyone selling a hard summer ticket for today !!,"['💰', '🎉']",
wedge has an insanity kink,"['👨', '👍']",
Mila said “fuck that cow” 💀,"['👩', '💬', '😡', '👎']",
So Emmanuel still get mind call Liquorose after all the love thing  Fear men 🥱,"['👨', '❌', '📱', '👩', '📅']",<pad>
“Fine I’ll just block you and disrespect you from there”  what type of big bitch shit is that? Weak ass energy,"['❌', '📱', '😡', '😣']",<pad>
Haven’t been to church since Easter and pastor Raymond was speaking directly to me today . Def needed that,"['❌', '🍳', '📅', '👉', '🍳']",
I hope y'all are having a lovely weekend!,"['🙏', '🥰', '📅']",
FELIX UR TOO CUTE STOP IT,"['👨', '🥰']",
"tell me when it’s over, so then i can try to understand what would’ve just happened.","['💬', '👨', '🤔']",
“You retweet some good shit man 😂”. I try 🤣🤓,"['👉', '👍', '💬']",<pad>
All that shit gone come back and bite you in the ass,"['💩', '👉', '🔥']",<pad>
My hottest farmer fantasy.  I’d be useless on the farm. But I could suck that dick all day while he works.,"['🔥', '👨', '❌', '💩']",<pad>
IM AT 620 SINCE WHEN?!?! /pos,"['👉', '⏰', '🤔']",
Y’all hoes fake and then want come be friendly gtf,"['👋', '😡', '🤔', '⏰']",
Fox News: OMG look at all those unvaccinated brown people.   Me: 🤯,"['🤔', '👉', '💉', '🤦']",<pad>
Summer jam finna smack,['🤮'],<pad>
Cleaning the kitchen then having to use it is highly annoying,"['❌', '💩', '😢']",<pad>
Ou idk actually 😭,"['❌', '🤔']",
My og like that’s dead,"['😣', '💀']",<pad>
Please don't do this to your children!,"['❌', '👉', '👨', '👩', '👦']",
I needed this sleep,"['👉', '😴']",
This nigga sitting across from me don’t even know how bad I wanna ...Fuck it 🤣🤣🤣🤣,"['👩', '👉', '👍', '👨', '🤦']",<pad>
T.G.I. Friday’s is camp,"['👍', '⛪', '🍳']",<pad>
Happening already,['🏃'],<pad>
"im gonna try and make a carrd, wish me luck 🙏","['👉', '🙏']",
mishuuuu,"['❤', '👉']",
living with me is randomly hearing me making zombie noises from call of duty,"['🎮', '💬', '💀', '👎']",
how about.... just stop shipping real people 😭,"['❌', '💰']",
Once you get used to the luxurious lifestyle there is no going back.,"['👉', '💰', '❌', '👉']",
fucked up my grammar what am i saying,"['❌', '💬', '👨', '👉', '💬']",
"When ethereum is 20k and Evols floor is 100eth you will think, damn. I should have listened to denzuul.","['👉', '❌', '💰', '👍', '💬']",
I can't think of something else bc I'm tired but that one dynamite dance video sent through the roof,"['🤔', '👍', '🏃']",<pad>
I understand,['👌'],<pad>
closed,['❌'],<pad>
They can’t risk him sayin some more country ass dumb shit 😂😂😂,"['❌', '💬', '💩', '😂']",<pad>
his tattoos are really beautiful 😭,['👍'],
everybody dies top 3 maybe,"['👨', '👩', '❌', '💬']",
bg been real ghetto the past couple days😭😭😭,"['💩', '🏠', '📅']",
"US: ""Let's hope Colorado doesn't burn again like last year!""  Mother nature: ""wish granted""","['👉', '🏠', '🔥']",<pad>
My disappointment is immeasurable and my day is ruined,['😢'],
Chase's Korean Name : Park byeon sim,['🤦'],
It be funny when mfs think they hurting you and ain’t🥴 mad ass.,"['😂', '🤔', '🔥', '👉']",
Hits so close to home😭,"['🤔', '👉', '🏠']",
i just want japan to win this pls :( love the team so much (and france too of course why is it at 2 am 🤠),"['👨', '👍', '🙏']",
Emery is the 🐐 fam😂😂😂😂,"['👩', '👍', '📅', '😂']",<pad>
Every painter was rarely an artist.,"['👨', '❌', '📖']",
Youngboy is objectively a top 10 rapper of all time and no one can't tell me otherwise,"['👨', '👍', '🎵', '📅']",
niggas be just as obsessed with celebrities don’t let em fool you..,"['🎵', '😡', '👨', '❌', '💬']",<pad>
"Although, I may end up getting in the way instead-- as usual!","['🤦', '👎', '🤔']",<pad>
omgggg ???? let’s goooo,"['🎉', '👉', '🏃']",
imagine being single on national gf day LMAO,"['🤔', '❌', '👩', '🤦']",<pad>
I feel like I'm always just shouting into the void cause no algorithm deems me worthy enough to share my shit to anyone,"['❌', '💬', '👉', '💩', '👨']",<pad>
This.,['👉'],<pad>
Happy 8k followers to you!. Avail her contents and VCs,"['🎉', '🏃', '👉', '💬']",
GUY.exe,['👨'],
Where are all the gay identifying Olympic quality swimmers and/or lifeguards who are currently single?  I am also single.  So uh...  👀 👉🏻👈🏻,"['👨', '❤', '👨', '🏃', '💦']",<pad>
tr plushies have me ugly laughing 😭,"['🤮', '😂', '😢']",<pad>
"I’m really the most dramatic person ever . I be cracking myself tf up cause it’s like second nature now , I don’t do it on purpose at all ☠️","['👍', '👨', '👌', '❌', '💬']",<pad>
"Mikel Arteta on Thomas Partey’s injury: ""I just had a talk with the doc. He'll have a scan tomorrow. At the moment it's not looking good.""","['👨', '💬', '💼', '👉', '📖']",<pad>
Enzo is such a happy baby.. always smiling 💙 mommy’s boy 4L ✨,"['👨', '😄']",
I really need a day in between Sunday and Monday🥲,"['👉', '📅']",
emma stone is a very entertaining white woman im kinda obsessed,"['👍', '👩']",
Y’all need y’all ass beat,"['😡', '👉', '👨', '👩']",
"If Partey is out long term, we’re gonna have a Xhaka-Elneny pivot vs Chelsea and Man City 😭😭😭","['👨', '❌', '📅', '👀', '⛪']",<pad>
i need to catch up with tdj,"['👉', '🏃']",<pad>
I can’t believe this is real,['🤦'],<pad>
so ppl still hawking godz in July rethink ur morals ✊🏿🤡,"['🎉', '📅', '👻']",
I will drop $1k to play some blockchain games with P2E element  Shill me your favorite ones^^,"['🎮', '💬', '❤']",<pad>
people who order sparkling water are pretentious,"['❤', '💦', '👍']",
This heart can’t take no more.,['💔'],
Death Counter 237,['👻'],<pad>
"As it turns out, closing schools and masking kids when adults have access to vaccines is BAD FOR KIDS!","['❌', '⛪', '🤦', '👎']",
I would acc be plotting to set you up for murder like gone girl or finding a way to shag ur dad each to their own,"['💀', '👩', '👉', '🏃']",<pad>
This the mf one.,"['😡', '👉']",<pad>
wait it’s almost been a year since quackity joined the dream smp right,"['👉', '📅', '👩', '🏃']",<pad>
No one knows what you feel inside,"['❌', '🤔']",<pad>
I’m in love.,"['👉', '❤']",
"trying to talk abt genshin w friends who dont play and having to say ""water, ice, earth"" when referring to visions","['💬', '💦', '🔥', '👉', '👀']",
"Dubai is making artificial rain, what’s your country making...?","['⛪', '👉', '📱', '💦']",
No one can wreck a happy home except the ppl in it. 😎,"['👨', '👩', '👦', '❤', '🏠', '👍']",<pad>
i feel sorry for my parents because they have a child who is obsessed with billie eilish,"['😢', '👉', '👨', '👩', '👦', '❤', '👩']",
My friends are so pretty like wow,"['👨', '💬', '🎉']",
We supposed to be planning a trip they in this mf flaming😂😂😂,"['👨', '👩', '👦', '📅', '🏃']",
Fake news!,"['❌', '💬', '😡']",<pad>
Love to see it 😍,"['🥰', '👀', '👉']",
"When you realize starfish eat sponges. Spongebob becomes a horror movie, with Patrick playing the long con.","['🤔', '👻']",<pad>
I can't flirt so any men interested in me please make the first move. Like right now. I'm ready!! Maybe.   FEED ME AND TELL ME I'M PRETTY!,"['❌', '❤', '👨', '👋']",<pad>
There better not be any women working at the t mobile store today,"['❌', '👩', '💼', '⛪']",
Already sunday evening. 😭 I want my weekend back!,"['📅', '👉', '❌', '⏰']",
Still availableeee🤗   Dye version C and D are SOLD❌,"['👍', '👉', '💰']",
anyways fuck park hye soo 🙏🙏 hope her new indie movie flops,"['🤔', '😡', '👨', '🙏']",
Are you the sun? Because I'm always looking for you,"['👉', '🌞', '🤔', '👀', '👩']",<pad>
Ohhh that’s gross lmaoo,"['🤮', '😂']",
"In that recent Vegas picture..lera needa keep them legs closed ,especially around corbyn😭","['👀', '⛪', '👍', '😢']",<pad>
mylenium 💙 1989 🖤,['❤'],
i just farted,['🤮'],<pad>
//Gonna start making people call me Conner and not Dariana 😊,"['❤', '👨', '🎉']",
Why Do I know these videos by heart 😂,"['💼', '👉', '❤']",<pad>
"If you’re dirty, just say that.","['👉', '🤮', '💬']",
"Madam Sakura, not to speak out of position, but...  /Please/ behave yourself.","['👩', '💬', '🙏']",
"Hey are you my assignment that is due? Pannanum thonudu, ana innum panna mudila😌","['👉', '📖', '📅', '👩']",
Native 4K at 120 fps… jesusssss 🔥🔥🔥🔥🔥,"['👍', '📱', '🔥']",
I'll be realistic and write my own ideas: The biggest reason Afghanistan is in this situation is the U.S.,"['🤔', '👉', '🔥']",<pad>
I created a monster 🤦🏻‍♀️,"['👉', '👻', '🤦']",
Boomer hiring managers pay exorbitant fees to access premium features.,"['👉', '👨', '💼', '🤔']",
Does anyone trade with interactive brokers? And what’s been your experience?,"['🤔', '💰', '👨']",<pad>
"WE ARE FAMILY WITH 2 DIFFERENT LANGUAGE,FIRST ADMIN WILL TALK IN WITH ENGLISH AND SECOND ADMIN WILL TALK WITH INDONESIAN LANGUAGE. ^^","['👨', '👩', '👦']",<pad>
Poor Leadership.,"['👎', '💼', '👨']",<pad>
* YOU'LL BE INCINERATED BY THESE JETS OF FIRE!!,"['👉', '🔥']",
😴😴😴.... I hate coffee but I had some this morning and still nothing. I feel exhausted today. 😣,"['😣', '💦', '👉']",<pad>
That's your dream? Aim higher babe,"['🤔', '👍', '🥰']",
Just be proud of yourself &amp; see good things &amp; hear good things. Hope you never sad. troyesivan,"['👉', '🎉', '👍']",
Totally argee on this..,['👍'],
WHAT A RACEEE 🔥🔥🔥,"['👍', '🏃']",
Proper December vibes.,"['👎', '📅']",
Bruh. I’m ready for Jay to wake up and FaceTime me. I miss him 🥺😭,"['👀', '👨', '📱', '❤']",
I agree.,['👍'],
That engagement shit a facade . Hit my joint on Twitter and asked her if she really getting married she said   nah probably not,"['😡', '🤮', '💩', '👎']",
She’s likely never dealt with basically a hermit before 💢,"['👩', '❌', '😡']",
dude i am deadass thinking of going to a community college for art music or writing,"['👎', '🤔', '⛪', '📖']",
someone wish this man happy birthday,"['🙏', '👨', '🎉']",
If I go home for Christmas I might just stay here for my bday then idk I have six months to figure it out,"['👉', '🏠', '📅', '🤦']",<pad>
Worth a look!,"['👍', '👀']",<pad>
follow her or else😤,"['🏃', '👩']",
You can get into trouble for all kinds of unexpected things these days.,"['👉', '💩', '📅']",
My family spoils my daughter so much and girl ain’t even here yet 😭,"['👨', '👩', '👦', '🥰', '👩']",
Do y’all understand how fast whoever made the meme of this had to be to catch it at this perfect moment 😂😂😂,"['🤔', '😂']",<pad>
SOLAR POWER MONTH OMFG🌞🌞🌞🌞,"['🌞', '🔥', '😂']",
im fucking bored,"['🤮', '😣', '😴']",<pad>
Today is going to be a 2hr long episode 💉💉💉💉💉💉💉💉,"['😴', '💉']",
WHITe BOY TRY TO SELL ME VLONE LIL BOY LEAVE ME ALONE,['😡'],
fighting the urge to text all my friends happy national gf day,"['🏃', '🎉', '🥰']",<pad>
"Anyway, what do you want? You want to challenge me or something? …I hate to say it, but I'm not in the mood for a battle now.","['😡', '❌']",<pad>
what’s going on 😟😟,"['🤔', '😢']",
Fuck man everything hurts,"['💔', '😢']",<pad>
"Don't forget that my heart once yours and your place will never be replaced but in this lifetime, our story doesn't meant to last.","['❤', '🥰', '😍']",
Back to square one. We need Werner to fckin score man.,['🔥'],
YOU CHAT TOO MUCH,"['💬', '😡']",<pad>
some people are disgusting,"['👨', '🤮']",<pad>
I JUST TELL IT LIKE IT IS,"['😄', '🤦']",
will magnesium citrate make u bloat like laxatives?,"['🤔', '😂']",
Fuck the democrat secret police. Defund the FBI NOW!,['😡'],<pad>
"Time dose not change people, time reveals the real face of people . 🤷🏻‍♀️","['⏰', '❌', '👨', '👨']",
the way all these festivals are going to spread the variant at super speed,"['🎉', '🏃']",<pad>
Gift of life,"['🎉', '😄']",<pad>
"Ooh what should I wear”-me, the person spending the entirety of the day in their house doing chores and making food","['👔', '🤔', '🏠', '🍳']",<pad>
english song 👀👀,['🎵'],
Lowkey 🎶,['🎵'],<pad>
Don’t screw with me. \nI will cry.,"['😡', '😢']",
Old people be so funny on Facebook. They really don’t belong on there to begin with 😩🤣.,"['😂', '🤦']",<pad>
Everything is coming to the light omgggg,"['😂', '😄', '👍']",<pad>
It seems we both refuse to die!,"['😄', '😂']",<pad>
THIS WAS ME WITH DEMON SLAYER HAHAHA,"['👻', '😄', '😂']",
I don't know why I have the ticket of my first Daewoo ride still in my wallet,"['🤔', '😂']",<pad>
how you a grown ass man and bike? grow up,"['😡', '🤔']",
The last time you had subway,"['🤮', '⏰', '🍳']",
Yuhuuu cant wait❣️,"['😄', '🥰']",<pad>
it's so hot that not even watermelon can refresh me,"['🔥', '🌞', '💦']",
I was coming up with a story concept the other day and now I'm realizing it's literally just Sonny Boy,"['🤔', '📅', '😂']",<pad>
I cried and i look like shit,"['😢', '😣', '👉', '💩']",
OMG TBERE ARE FIDGET SPINNERS AT SEVEN ELEVEN WHO WANT OME!?????,"['😍', '🤔']",
im so ia these few days😭,"['😢', '😣']",
I’m done arguing with blackhawks fans who want Seth Jones to suck. That is my promise to you all,"['😡', '👎']",<pad>
Always a fan from ‘Cuse time. So smooth!,"['🥰', '👍']",
Shit ain’t sweet I’m not showing no love .fuck on,"['💩', '😡', '👋']",<pad>
Amazing Firework mishap  8 am in Max and Erma's. Sydney Brannon reporting for Stock Market station.,"['🎉', '⏰', '⛪']",
Meow!,['🐶'],
whole tl fighting,['🔥'],<pad>
Arsenal make me sick,"['🤮', '💉', '😷']",
Being hungover ain’t it bro 😐,"['😢', '😣']",<pad>
I have anxiety at my parents house and that’s okay. They remind me of dreams they had for me,"['😣', '👨', '👩', '👦', '🏠', '🤔']",
the loafers …. i need them,['🙏'],<pad>
Hey go touch butts with a putride fetus Bella Medina!,['😂'],
Don’t shoot.,"['❌', '🙏']",
I need this skin too,"['😂', '🔥', '🙏']",<pad>
can’t expect honesty from someone who can’t even b honest w themselvesssss,"['🤮', '😡']",<pad>
Went to the field hockey finals in Montreal. Full of India fans. But India didn’t make it.,"['🏃', '😂']",<pad>
She got sooooo mad at me while I was putting the flamingo costume on her. Then she seemed pleasantly intrigued while wearing it.,"['👩', '😡', '😂', '👩', '😄']",<pad>
twitter really allow niggas to convince themselves they smart . i miss real life,"['📱', '💬', '😂']",
I don’t do the drama! Mfs be actually old and messy. I don’t like that,"['❌', '😡', '😣']",<pad>
Allure is timeless,"['🔥', '❌', '⏰']",
New Jerseyans do NOT know how to make cakes.,"['🤮', '❌']",
then you say,"['👨', '💬']",<pad>
How can people even Compare Billie and Nirvana.,"['🤔', '👨', '👩']",
still working on my obliques but that’s been a process LMAO,"['💼', '⏰', '😂']",
RTÉ hate the Dublin football team and you love to see it 😂😂😂,"['😡', '👨', '😍', '👀']",<pad>
Just have to get it right once 🙏🏽,"['🙏', '👌', '😣']",<pad>
How do you expect to see me happy when you stole my happiness away?,"['😡', '👉', '😄', '💔']",
I don’t fuck with fashion nova you know,"['😂', '❌', '🤦']",<pad>
"If you're on my new snapchat acc, Im deeply sorry😭","['📱', '😂', '😢']",
THIS IS MY HEADER WAIT OMF,['😂'],
HELP,['🙏'],<pad>
i fell in love but its okay cause we in love✋😣,"['❤', '🥰']",
A TWERK UNIT HAS SUCCESSFULLY MADE CHINA AND BRAZIL ITS OTP.,"['👍', '🔥']",<pad>
this could be a tweet,"['👉', '📱', '💬']",
Try making a violet carolingian work with bile!,['💼'],
my edit almost done! *snorts*,"['😄', '👌']",
That eyebrow cut tho,"['👀', '😂']",<pad>
"My birthday is in a week and a half, I better be getting carried out the club","['🎉', '📅', '😢']",<pad>
Short story,['📖'],<pad>
"New month, let’s go crazy","['📅', '😄', '🔥']",
i’m so sorry :(,"['😢', '😣', '🙏']",
MARK'S REACTION LOL,"['😂', '😄', '👍']",
THE SHOES omg i LOVE IT,"['👔', '😂', '😍']",
I want some hot ass chicken 😂😂,"['😍', '🔥', '🍳']",<pad>
If I’m motivated just go away leave me by my own ⛓,"['🏃', '👋']",
"teach me how to be okay,i dont wanna downplay my emotions","['😣', '👌', '😢', '💔']",
i literally look so disgusting i wanna kill myself why do i loo liek this,"['😣', '🤮', '💀', '🤔', '👩']",
"Nahh I hope KW rotts in hell, wtf is wrong with this man","['🙏', '💀', '😡', '👨']",
"Boo, and I cannot stress this enough, fucking hoo.","['😣', '😡']",
What's the point of paying for health insurance if you're still going to be in massive debt if you get sick? What is my money going to?,"['🤔', '💰', '👉', '🤦']",
Beautiful Mark jumps over Laura.,"['👨', '🏃', '👩']",
- these folks can only see me virtually .. 🤑‼️,"['👨', '👀', '😂']",
"sp's fanservice is just superior, literally the only thing i can thank them for aside from animation","['👍', '💬', '🙏', '😍']",<pad>
is there any updates on lewis?,"['🤔', '💬']",
oh mygod,"['😄', '🔥']",<pad>
i miss gfriend tonight,"['😍', '👩', '🌛']",
i don’t even know what was this supposed to prove like,"['❌', '🤔']",<pad>
Is working at the mall boring?\nYou kinda just watch tons of people walk by the store and hope for them to walk in yours.,"['🤔', '👀', '👨', '🏃', '🙏']",<pad>
Sanchos mother watching him play this season at United.,"['👩', '👨', '👩', '👦', '👀', '🏃']",
Take notes for how the cathedral operates and how effective its tactics are.,"['📖', '🤔']",<pad>
"All deez look good n all, but nobody trained to stick da landing?","['👨', '👍', '🤔']",
I love my bestfriend,"['🥰', '❤', '👩']",
"So if you can help me with my social media &amp; PR life or know someone, please drop a comment. I need to take it serious.","['🙏', '📱', '💬']",
"I fell down inside my room today, landed on my butt, nobody to tell me sorry 😭😭\nGod epp me say no be on top sharp objects 😳😂😂","['😣', '💬', '😢', '😂']",<pad>
I knew what I was getting into. And I won't turn back now.,"['🤔', '👋']",<pad>
She pretty and she paid,"['👩', '💰']",
One Tweet,['💬'],<pad>
I really love how everyday there seems to be a new reaction image of Dante that I can use and Im just like yeessss brooo give me that shit,"['❤', '📱', '😄', '💩']",
Man off the match richard ofori,['👨'],<pad>
saturday,['📅'],<pad>
no one tell erica sullivan about rosmello,"['❌', '👨', '💬']",
I was cheking on my old @ and the typo and how young I was makes so embarrassing to see the dms like 13 years old me sucked,"['📱', '😂', '👀', '🤦']",
weirdos,['🤮'],<pad>
Never tf again,['😣'],<pad>
tteokminnie do u like aussies be honest,"['🤔', '😍']",
Tweetless today 🌚,"['❌', '📱', '💬', '📅']",
the new season of obx is so good,"['📱', '👍', '🔥']",
my brother just punched a hole in my door😂😂👍,"['👨', '😂']",
I CNAT TAKE THIS WTF,"['🤮', '❌', '💩']",
I wasn’t meant to have a normal life or be close to ppl idk why,"['😢', '🤔']",<pad>
Y'all mind if I crack an edgy joke?,"['🤔', '😄', '😂']",
LMAOOOOO no way 😭 why,"['😂', '🤔']",
agreed but sadly now so many players are playing for the almighty dollar and not the love of the game,"['👍', '🏃', '👉', '💰', '👎']",<pad>
why he pop the suns like a perc then?,"['🌞', '🤔']",<pad>
Who wants to make eye contact,"['🤔', '👀']",
The tamale man outside and I don’t have NO cash 🥲,"['👨', '❌', '💰']",
Never,"['❌', '😡']",<pad>
I need the Best Actor oscar because of my perfect selection of 2-for-1 cocktails lads,"['🙏', '😂', '👍']",<pad>
"coughs. hello, I'm bisexual.","['😂', '👋', '👨', '👩']",
What a beautiful little girl.,"['👩', '👍']",
