Sentence,Translate
"All deez look good n all, but nobody trained to stick da landing?",👨👍🤔
I love my bestfriend,🥰❤️👩
"So if you can help me with my social media &amp; PR life or know someone, please drop a comment. I need to take it serious.",🙏📱💬
"I fell down inside my room today, landed on my butt, nobody to tell me sorry 😭😭\nGod epp me say no be on top sharp objects 😳😂😂",😣💬😢😂
I knew what I was getting into. And I won't turn back now.,🤔👋
She pretty and she paid,👩💰
One Tweet,💬
I really love how everyday there seems to be a new reaction image of Dante that I can use and Im just like yeessss brooo give me that shit,❤️📱😄💩
Man off the match richard ofori,👨
saturday,📅
no one tell erica sullivan about rosmello,❌👨💬
I was cheking on my old @ and the typo and how young I was makes so embarrassing to see the dms like 13 years old me sucked,📱😂👀🤦
weirdos,🤮
Never tf again,😣
tteokminnie do u like aussies be honest,🤔😍
Tweetless today 🌚,❌📱💬📅
the new season of obx is so good,📱👍🔥
my brother just punched a hole in my door😂😂👍,👨😂
I CNAT TAKE THIS WTF,🤮❌💩
I wasn’t meant to have a normal life or be close to ppl idk why,😢🤔
Y'all mind if I crack an edgy joke?,🤔😄😂
LMAOOOOO no way 😭 why,😂🤔
agreed but sadly now so many players are playing for the almighty dollar and not the love of the game,👍🏃👉💰👎
why he pop the suns like a perc then?,🌞🤔
Who wants to make eye contact,🤔👀
The tamale man outside and I don’t have NO cash 🥲,👨❌💰
Never,❌😡
I need the Best Actor oscar because of my perfect selection of 2-for-1 cocktails lads,🙏😂👍
"coughs. hello, I'm bisexual.",😂👋👨👩
What a beautiful little girl.,👩👍
i want a physical book bc i really can’t push myself to read on my phone,📖🤦👀
GOODMORNING day 2 here we go,🌞📅🏃
You sure say she get danfo money for hand ni,👌👩💰
I’m so sick of myself,😣😷
miipan is literally INSANE,🔥😂
Hearing Hatikvah sung strikes pride in every Jewish heart.,🎵👉❤️
Yeah right little things matter,👌👍
Now playing Self Control by Laura Branigan!,🎵👉👩
I’m so chill bruh,😄
Lizzy n Isaac surprised us at hard yesterday 🥺🥺🥺,👩😍📅
"Oh, what?",🤔
I’ll never let go Jack!,😍👨
in heels up the stairs,🙏🏃
mO RAN STOP PLS,🏃❌🙏
"He's so brave, I'll be a very proud friend he'll have:&gt;",👨👍😍
Hot bitches sleep with makeup that magically disappears next morning,🔥👩❌🌞
omg  a,😂
I have to shit real bad lol,😣💩👎
he’s in his red era😭❤️,👨👉❤️
nothing feels the same but when it goes ..... SALT AIR,😣😢
"Sometimes I wish I were a little kid again, skinned knees are easier to fix than broken hearts",🙏👨💔
Salut 🤡🤡,👻
what’s a very solid place to get piercings in Houston?,🤔👉⛪️
what’s my brand,🤔
ya know I think my favorite thing about life is when you ask God for a sign and he gives you exactly what you need,😍👨💬🤔🙏
Mmmm stockings and arm warmers. These make everyone 10x hotter.,👨👩🔥
Oh my,😂😄👍
💀 I really always thought it was “Belks”,💬
never seen a good looking genderfluid person 🙄,❌👀👍👨
Drop handles and follow me for quick follow back 👇🔥🏓,🏃👉🔥
IM CRYING WHY THE FUCK,😢🤔😣
brendon urie queen of k-pop,👍👩🎵
"I adore you, my Goddess of Love!! 🙌🏻😻💖🐚",😍👩❤️
I’m glad I went outside last night even though I was tired.,🏃🌛😴
♪You did a good job\nWatching those little screens\nIt warms my servos and circuits\nTo hear some fresh screams♪,👍📱🔥❤️
"Loving, authentic, breathtaking",❤️👍
alina attracts weirdos,👩👉🤮
i better get an iced coffee first” - me before doing any menial task,🍳😴
Blake Havard - Wave Goodbye,👨👋
Man of the Match is RADEBE,👨🔥
2022 crypto gon be crazyyy,💰🔥👍
"the doctor's dead, he told me he always hated you",💀👨💬🤮
I haven’t drove my truck so I didn’t  know if I had gas he woke before he left for work and filled my gas tank up,❌🚗👨💼
bruhh this! i never knew how to put it into words lmaoo,😣📱💬
bunal reveal pls,🙏
yeaa. i'm strong. but not all the time.,👍❌⏰
Luggage left unattended may be donated to the post-industrial underclass.,💼👉💰⛪️
Obtuse and stupid I think your talking about your own fandom fren,👨💬
"Ugh, this is so good!",😂🥰👍
Invest in your Girl because if you go broke it’s her who’ll feed you not your niggas 💯🤷🏽‍♂️,💰👉👩💔
I'll be back soon ~~Bot,⏰🏠
Bitch be mad as fuck when a nigga pull out😂,👎👩😡👨🏃
Ummmm find a job but I’ll still take a stimi fuck you talking bout privileged ass how u mad at free money lmao,👀💼😡💬💰
"It b the weird energy fa me, eww that’s why i keeps my distance from folks !",🤮🤔👨
"say what you want about coi, but i been sing that freestyle everyday since i first heard it",💬🎵😄
Anyway 28 is good age,📅👍
Cue the democratic infighting. Nice job guys.,👍👨
I can’t sleep in once Im up I’m up,❌😴🔥
those bands on his bicep are gonna explode from there,🎵🔥
Exactly my point,👌👉💬
agustus please be nice yah! 🙆‍♀️💖🥰🪄,📅🙏👍😄
I MISSED SO MUCH WHILE I WAS ASLEEP THSI IS TOO MUCH,😍😴
Afternoon Ruby!,😄👨
I’ll have a 4 year old in 3 days 😢,📅😢
Try to tell me strong Uranus in your chart doesnt make you look like this 👽,💬👨❌🤮
So many pics \nSo much exciting things coming up ✌🏻 I’ve been sworn to secrecy 👀👀,🙏😍👍
thinking about how surreal it was when roadtrip dropped oh my god,💬🚗😂
Nah man that hurts smh,👨💔
Villa player back in Villa training...  nothing to see here,👨🎮❌👀
soup time,🍳⏰
"Damn, Lollapalooza fired Da Baby. Nigga had too much dip on his chip. 🤦🏾‍♀️🤣",😂👩🍳
I just want a good life,🙏
This Joneser agrees. None of them are to be trusted.,👨👍❌👨😡
A gone girl 🥺♥️,⏰❌👩
I love Elena so much because she’ll let me cry it out and then roast me in the same 5 breaths,❤️👩👉😢
sunmi’s allegiance to the moon and misandrist agenda is v pleasing to me!! I will eat it up every time 🤝,👩💬😄🍳
nicki must’ve changed her stage name to beyonce cause that’s a whole beyhive.,👨👉🎵
Big stepper ! I’m so focused on my life and goals I can’t be touched.,👍🔥👋
This nigga be sayin anythingggg,👨💬
Damn it’s my bday tomorrow I’m single 🥺🥺🥺,😣📅😂
POV: You just found your twin flame at a festival but your friends are ready to leave.,👨🎉👨🏃👋
"It’s not beria, it’s just shows how i truly care about your existence in my life",❌👉❤️🥰
I am winning in life right now,👍🔥
fuck me innocently with a drill press and call me your cumslut,😣💬👉👩
guys he loved the gift i got him 🥺🥺🥺\n\ni mean ofc he did it was from me hehe,👨❤️👉👨😂
In there recording a bible scripture,🎵⛪️
Just go to a thrift store lol,🏃👉⛪️😄
I turn 27 in a week and I am not okay with officially being in my late twenties.,📅😣👎
"and blocking is annoying too,,",❌😣😡
hot choclety Star Wars,🔥👀
Redvelvet did a suprise special vlive and they are complete OT5 forever🥺,👨🎉👍⏰
The delusion 😵‍💫,🤮😣🤦
Maria almost misyarned🤭,👩🤦
Let’s hope today is much better,👨🙏👍
And a large iced coffee with cream only…..-a large coke? Wuh..n..naw,🍳
*spends $800 on high quality 4k camera*\n\n*puts filter on video to make it look like it was filmed in the 70s*,💰👉📱
casamigos be having a bitch feeling everything 😂,👩😂
And I cant stop smiling because of him 😭,❌🏃😄👉👨
I thought I was the only one 😭😭,😣😢💔
"How many years are we putting up with this deadwood, what length of contract did Wenger give Elneny ffs",📅👨👩🤔
You people use to pass your boundary on this app. Iya Baba e ni bastard,👨🏃📱👻
