sentence,translate
"I don’t feel it’s my job to tell a girl that’s flirting with my bf to stop. Ithat’s my boyfriends job, no?",❌👩💬👻👨
give anything to hear half your breath”,💬
1999 1908 Gold vintage,👍📅
On some fat shit today 😂😂😂😂,💩😂
smtm10 is already a joke,👻
"I'm 𝗰𝗵𝗼𝗼𝘀𝗶𝗻𝗴 him , cause he wouldn't call me a dumbass !",👉👨💬👻
defence is awful gtf. two centre halfs please,❌🏃😷
"not the brunch place just opening and me not even knowing, such good timing kenneth.",❌🍳⛪️👍⏰
pls she’s so pretty stop it,👍👩❌
The Bolt era is well and truly over😭,🤔
Thurgood Partial cuz he's NOT a WHOLE MAN!😝,👉❌👨
I’m both,👌
Hello!,🙏
Thank you for drawing Hitchannie ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,🙏❤️
.... Encouraged Rodan to be a uncle- imeanwhat,👨‍👩‍👦👉👨🤔
/ pls write w me 🧍🏻‍♀️,🙏📖
"🐺: if there’s one thing i could want, i wish for STAY to be happier than anyone else.",🐶💬👉😄
people sleep on my fav artists 😭,👨🌛🔥🎵
Got all my grocery shopping out the way early before the crowd lol,🍳👌
I love the way you move your hand on my body darling.,❤️
chillax,🤦
Trolls are something else.,🤦
I should’ve said no from the beginning,💬❌👉📅
Swear I miss him as soon as he leaves🥺,🤔👨❤️🏃
The adults have taken their cars with them.,👉🚗
calm down,🤦
sometimes I say I’m happy but I’m stil stuck on us 😮‍💨,💬😄❌😄
Mine still has internet??!! I keep that MFer charged as a coffee table ornament,📱👉💰💦
ITS TOO EARLY RN,🌞
hype my pinned 👩‍❤️‍💋‍👩,🙏❤️
@ treasure drop new music rn 👿,👍🎵
WAKE TF NEW SDP,😡🌞
I be wanting big lashes but it’s not meant for the kid. 😕,🤔👻
Did a movie marathon didn't think it would last that long and now my legs and bum are numb,🤦
I have been sleepwalking Since I was fourteen,😴🏃⏰
red hair is my signature color but it kills my hair 😩,❤️🤔🤦
from a friend:,👨‍👩‍👦
"i don’t accept failure, i just try to see it all the way thru.",❌👎👀
"Name a better person to make india proud, I'll be waiting🥲",💬👨👍👀
both,👌
Good project,👍💼
Misplaced priorities. No. 4 should be on the top.,😡👎
Fair play to him catching up but wtf was Ziyech doing🤣🤣,👍🎮🤔👨👻
atp imma pay my auntie to make me some bake,💰👩🍳
Excited because I know it is happening very soon 🎰💵🏡📈👩‍💼👨‍👩‍👧‍👦  I am claiming it. In Jesus name 🙏Amen 🙌,😄👉💰🙏
Me turns... When...,🤔⏰
"I think us Cows have the best school spirit. Huh, Mandy?",🤔👍📖⛪️🤔
Info sleepcall,😴📱
So like people who have shit inside their pc case… metal okay on top of gpu?,😷
"Thanks Susan, that clears up a lot of questions I personally have had about you and your jello loyalties.",🙏👍👩
"Mamelodi Sundowns FC will steam roll pass everyone again this up coming season, ayikho lento.",🙏🏃📅
Jinmin Live who? 🤡,👨🤔👻
Day 214. Am I real?,📅🤔
I wish I could feel bad for Britney spears like everyone else but I still hate how she treated that one girl behind the scenes on Zoey101,🤦👩😡👩👎
MAYBE I'M JUST HARD TO LOVE.  - AND EASY TO LEAVE 💫,❌❤️🏃
Put rob holding in the Brighton team and he does the exact same job as Ben White btw,🤔😄👍💼
A man 🤤,👨😂
[closed],❌
Reply*,💬
church was great,⛪️👍
"Remarkable, indeed.",🎉👍
Yes now. We bought him to score not assist,👉👨🏃
1 of the most patriotic Opposition CM in India. Respect ✊,👍💼👨
yea like y’all can pop up pls 😂😂,👍👻🙏
not in the mood to waste my time for some toxic trait :))),😡❌⏰💩
I like this virus😂🤣,❤️💉😂
"“The secret to tres leches is that sneaky ass third level of milk, really makes it hit”",🤦
Unfortunately not enough.,🤔👉
I’m glad I can get my mom whatever she want she deserves it 💯🤞🏿💕,😄👉👩❤️💰
I want to tan,🏃
3 more and I’m booked this just my down time 😊,👉📅👍⏰
official citizen of queerdom 💖💖💖,👍🏠
tom thumb you're only hurting yourself now you're powerless and i tower over tom thumb you're only wasting your life now,👋👨💦⏰
"Wanted to write the funny story, but it looks like the darkness has to come first",👍📖👉🌛
"2 attempts, 2 goals - and it's fucking Gogic again!",👍🎉
"Well he killed someone while he was a cop, so",👨💀💼
yeah may be outside the track hahaha,💩😂
Hivs defending like their big sisters😂,👍👩😂
the way my mom been casually asking me how i am for days now. &amp; i’ve been avoiding the question every time. i really can’t lie.,❌👻💬
I’m sorry but I will never be over this,🙏
I HIT 200 SO TRUE,👍
Interesting looks like at the end many drivers have to visit the stewards 👀👀,😄👀🚗👨
Save me from this feeling of missing you.,🙏❤️👉
This photo just gives me anxiety and make me mad tbh,📱😡
"so that it no longer lets us alone, even when we have long since had no chance to listen to lectures on it,",❌📖👉
every guy named CORY is going to use some neural network bullshit to make them less dangerous,👨👉📱👍
this is a youtube hate acc,❌❤️📱
💕 You are too!,❤️👍
👑💙 Let's go team!!,🏃🔥
"svt in the soop, dream comes true!",🎉
Haiya Kwani the guy in the red car alikua on leave ?,🚗🙏
They won’t believe it 😌,👨‍👩‍👦❌🤔
speechless,❌💬
note to self:... i want a private skatepark lol,🙏👨🏃
they think kinnies r smart :/,🤔
Nothing like waking up at 8am with your thumb and pointer finger completely numb and they stay that way for at least 20 minutes,🌞❌⏰
who would like to play edward 40 hands,🎮💰
"Yey!!!! Ive experience that shit, never trust ANYONE. Human beings are very deep.",💩❌💬
Absolutely not,❌
TOONAMI WON,🎉
00:00 Everyone's happiness.,🥰⏰
U MAKE IT EASIER WHEN LIFE GETS HARD,🤔🥰👉🤦
My brother told me never break or bend or fold so I won’t,👨💬❌🤔
