sentence,translate
Bitches will listen to Lincoln Park but bitch when we LINKING at the PARK?😏,👩🎵🤔👨
"Ofc hes good at windsurfing, hes an air bender",👍👨
So lucky lang 🥺❤️,😂😄
Well it’s going to be at least a good 3 to 4 years. How did our mamas and grandmas do this 5+ times. I can’t,👍📅🤔
just want to throw it out there that I had absolutely NO business watching the movie Thirteen Ghosts as a child lol wtf,❌💼⏰👀😂
i just decided that i’m actually not going back to school i hate that place,🤔❌🏃⛪️
i wish i never left bookblr the book community seems to be thriving,😢❌📖
LOOK AT THAT ASS THOOOO,👀👉😂
oh fuck oh heck oh god its next week and Im already maxed out on X's heck,😣😂
you made me hate this city,😡💔
Has anyone ever gone coast to coast in water polo?,🤔💦
Had fun night though 😌,🎉👍🌛
i start thinking i'm good at dead by daylight but then i get hooked and none of my teammates wanna unhook me,🤔💀🌞💔
if i miss ranboo’s stream cos my mom makes me go sit jn their room and listen to them talk about shit i’m disowning my parents,🥰👨‍👩‍👦🍳
"I want to drive somewhere far that no one could ever find me. cut off everything, and died inside the car with a lot of drugs😂",🚗❌📱💀💉
"Freaky bitch come eat it, fuck a picture I’m too freaky you know me I shoot a movie 😏",👩😡
Shoulda done what was on your plate. Tellin’ you now.,💼💬
A must reading book 💚,👍🔥👀
Boutta smack these steaks on the grill,🍳🔥
he feels most comfortable dancing  🙄,👨🤮
🥲 A year ago...,😢📅
Niggas come through and want to drink at 10am on a Sunday man 🥴,👨🏃⏰📅
no and thats kinda the whole point .,❌
i ride for my people behind the scenes where it matters most. when weird shit is sent to interrupt their life i dead it,👍🙏👨💩
Its hard to sleep when your heart is at war with your mind,😣😴💬
ah-CHOO!,😂
Tammy doesn't deserve the hate he is getting man. No one should.,👨❌😣
They really want us to believe the same company that rendered Barret can’t render Y’shtola.,👨🤔
nothing last forever,❌⏰
Baby’s **,👨😄
Debating if I wanna treat myself to some dunks 🧐,💬😂
That cop blew dog shit in downtown 😭😭😭,👨💩
Weeb Revelation 😎,😂📅
always a jam!,⏰
Heartbreaking vaccine injury stories,💔💉💔💬
I say bitch I’m not just anybody,😡💬👩👎
He said you ain’t going to grab his shoulder 😂😂😂😂😂,👨💬❌👨
If Kumar comes back build the damn statue,👨🏃🏠
This would dead ass be Tim,💀👨
It’s one woman vs me,👩🔥👨
hahha that bird is flying wtf,😂
"GENIUS GOP Should I repeat? If the country don't care about the people, should the people care about the country?",🤔❌👨‍👩‍👦
Imagine doing this to AMO. This is what no pussy does to a man.,🤔😂❌👩👨
when i consistently reply 10 texts instantly and he doesn't care but match my energy,⏰💬👨❌🤔
So who’s gonna get him now,🤔👨
I know my family is gonna be ignant when they meet my SO 😭,👨‍👩‍👦🤦👀
"You're a real piece of shit, Narcisse. You know that, don't you?",💩🤮🤔
felix and ten fakes pls call me,📱💬
peaceful,😄
"...here. Being held can help people feel better. You can cry all you need. Then, if you want, we’ll pretend it never happened.",👍😢💦😣😂
I cannot sleep bc of that 💀💀,❌😴
"Riyu. Why don't you wait for your escort? If you leave here now, you might not have a future...",🤔👨🏃❌
"in other news, it looks like Simone might compete in beam finals!",👨
PAUL RUDD IS 52????,🤔😂
And they would be the first ones to take offense when I don’t ever wanna do this again LMFAOOOO,😡❌🤔😂
The virgin Djokovic vs the chad Tom Daley,👨👨⏰
I just want to be genuinely happy without any reason to it 😁,😄❌
Getting DRUNK TODAY…. What y’all got up?,🤮🤔
Check now,📱⏰
"damn it’s august already, half of summer break is already gone :(",😣📅
"Who will inform maman, that I can barely hold a man’s interest?",🤔💬👨
We don’t pay for a storage. It’s called a third bedroom.,❌💰👉🏠
Report these videos,💬👉📱
sometimes i feel like i’m ugky then i realize **** exists and i feel so much better,⏰😣👉😄
his hair...fucks so hard....pretty ikemen boy...im just a man....,👨
LRT NO ONE SPEAK WTF,❌👨💬
"We are our words we are our thoughts, our body is just a vessel, we're what's within.",💬🤔🏃
Don’t do druuugs,❌💉😡
Did she get her degree from filling out the add in back of a comic book?,🤔👩📖
I’m glad we only live once because I can’t do this shit again,😄💼💩❌
Want more followers?  Follow everyone that retweets this tweet  🍡,🤔🏃📱
A Covidiot lied 🤥 and got her sick,🤮👉👩😷
i will not acknowledge that she got a silver,❌🤔👩
I have boring ass friends these hoe’s never wanna go to brunch or do anything but go to the club’s 😒.. give me some new friends 🥲,😴👨🏃⛪️
sea is retweeting every tweet bts has ever made  they are going through it,👩📱
Send me back to the Jim Crow times with a Durango HellCat and a 100 round drum Draco! I bet you i’d cause the second civil war lol,🚗🏠😂
So how big is your dick daddy?? 😍💦,🤔😂
"moots duluan yaw, good night! 👋🏻",😄👍🌛
Thirsty 💦,💦😄
istg idk what i shd do right now. 😓,😴
I think men w egotistical issues should be on Ritalin….   Calm all at shit down Popeye,👨💩
When's A good time to post a highlights today or tomorrow?,🤔⏰💬📅
i love marvin sapp i just feel like he get me through anything 💙🙏🏾,❤️👨👍🥰
come watch playing for T12 at champs,🏃👀🎮
"Don't fleets die like, tomorrow?",🤔💀📅
When I said fresh start I didn't mean WITH the nigga 🤣🤣🤣 gotta be specific,💬❌👨
EARLY 2022  I WILL DROP MY FIRST EVER ALBUM,📅👉🎵
Nope,❌
People be tweaking,👨🤮
England  says I'm here for you.,💬😍
"I want to start a business...with no money. How can I do that, lol? I'm laughing but serious.",💼❌💰😂😢
Almost home now  Stopped at a local ICA which is a grocery store chain in Sweden but it shouldn't take more than 15 mins.,🏃🏠🚗⏰
my brain is messed up 💀,💬💀
guess who’s reading their number 1 fav fic again! hint it’s me! also it’s knock knock ily ofc,🤔📖👍👨
tteokminnie how was ur week so far ? any memorable moment ?,🤔📅🎉
JJK chapter 153 I'm so excited I'm gonna hit someone with a chair,📖🥰
The ignorance in this space🤢,🤮😣
Lmaoooo this is how we be too,😂👨
"This is so damn funny!! Happy Sunday, y’all!!🤣🤣😤😂",😂🎉😄📅
Starving 😩,💬🍳
I’m not forcing shit but more weed in my blunt,❌💩💉
Canceled my plans just in case you’d call,❌🚗👨📱
Hhhhhhh I hate having colds I just feel like shit and my head is pounding I don’t wanna go to work,😂😷💩❌💼
who said???,🤔💬
93 iam getting ready to take my afternoon nap. 93s,🌞😴
if i fwy i took you to Dandees Donuts,😂🚗
LOVE YOU MORE!!! call you soon! 📞😂❤️,🥰❤️👀
THIS REMINDED ME my friend literally saw skz in n out bc she lives there and she sent me the pics she got,👉💬👨👀
HOW Y'ALL DO EYELASHES MINE ARE ALWAYS UGLY,🤔👀😣
AND MISS THE SHOW??? ... Uuuh I don't know if I really want to miss all of it... 🤔,🤔❌👀
"in that case, we won't be streaming then",❌📱
yall getting a taste of your po!son real soon,💀👻
missyou🥺,🥰
do yall find liquid cals filling ?,🤔
I’D DO IT AGAIN,👍😄
"You know what, i want to curse.",🤔💬😡
The right thing will reach you at the right time ..,💬👉⏰
"if any of u need me, I’m always available by dm or discord !! 💃🏻",📱💬👉👨
Delete before Inter sees this,❌👉👨👀
The tomb was empty on Sunday ✨,❌👨📅
Show me yours I’ll show mine,👀
9 cutie moots rt pin yuk😘,👨👩😍
"Or, more to the point, haven’t grown up?🙄🤨",💬🤮
We have a message and we need the world to hear and acknowledge it.,💬👉👨👀
Too many for my own good,😂
"But that band was nothing more than a waste of time. We couldn't even practice one song seriously, and we'd get into fights..",🎵❌⏰
"Someone come hold my hand, I'm feeling needy 🥺",😣👋😢
CLASS STARTS IN 6 MIN AAA,📖
KFC chicken sandwich might be better than chic fil a’s,⛪️🍳👍
hi u r gay meooowww,😂👉👨👨
that wasn’t even aimed at anyone in particular i just hate the way ppl talk on this app,❌😣💬📱
